step,loss,param_l2
100,5.090659141540527,1699.2589492145926
200,4.245262145996094,1730.6287793982774
300,3.888798713684082,1753.5088110417128
400,3.736737012863159,1773.2687424086034
500,3.460573673248291,1790.7913508750498
600,3.345607280731201,1806.9055669009686
700,3.163193464279175,1821.6709770672023
800,3.1194820404052734,1835.360684901476
900,3.0777153968811035,1848.1244567856193
1000,3.046753168106079,1860.2365454509854
1100,2.8499255180358887,1871.5431421771646
1200,2.8069591522216797,1882.3275733366609
1300,2.6382579803466797,1892.616230674088
1400,2.8740687370300293,1902.3164583221078
1500,2.715996742248535,1911.5709305778146
1600,2.6097519397735596,1920.5104299932718
1700,2.5062079429626465,1929.1009389162064
1800,2.579737663269043,1937.2912781387568
1900,2.425351142883301,1945.0690899789333
2000,2.5699422359466553,1952.547698661685
2100,2.355738639831543,1959.830146342516
2200,2.358649253845215,1966.8260622173548
2300,2.3590197563171387,1973.6329449266195
2400,2.261498212814331,1980.254658833146
2500,2.285918951034546,1986.7193267345428
2600,2.3580212593078613,1992.853371605277
2700,2.190124034881592,1998.8243576288223
2800,2.251167058944702,2004.585914120078
2900,2.300658941268921,2010.2068149745464
3000,2.3349456787109375,2015.6770431250334
3100,2.275057792663574,2021.1461243629456
3200,2.162698268890381,2026.3484082520008
3300,2.3060879707336426,2031.526779666543
3400,2.0849075317382812,2036.59422108531
3500,2.1206722259521484,2041.4364746958017
3600,2.0461692810058594,2046.2661184221506
3700,2.0239312648773193,2051.0476040244102
3800,2.2079789638519287,2055.644068673253
3900,2.316171646118164,2060.163689687848
4000,2.17171573638916,2064.5848653018475
4100,2.066734552383423,2069.015164062381
4200,2.0530779361724854,2073.345582291484
4300,2.0971550941467285,2077.5587832033634
4400,2.0841763019561768,2081.6873393803835
4500,1.976935863494873,2085.87255500257
4600,2.0462446212768555,2089.905556127429
4700,2.025679111480713,2093.8827482163906
4800,2.1539833545684814,2097.748540520668
4900,2.0702874660491943,2101.6511009037495
