step,loss,param_l2
100,5.127926826477051,344.42102575302124
200,4.193337440490723,361.65796422958374
300,3.519080400466919,374.83619832992554
400,3.3173024654388428,385.6498236656189
500,3.0083205699920654,395.1593909263611
600,3.0907440185546875,403.68250036239624
700,2.838958978652954,411.5512557029724
800,2.778043031692505,418.931161403656
900,2.7889907360076904,425.8928847312927
1000,2.653733253479004,432.4963355064392
1100,2.659921407699585,438.8636260032654
1200,2.5662217140197754,445.02390813827515
1300,2.577138662338257,450.9379172325134
1400,2.5530683994293213,456.73191595077515
1500,2.4263153076171875,462.36158514022827
1600,2.347865343093872,467.8565344810486
1700,2.3085811138153076,473.2599844932556
1800,2.362172842025757,478.612370967865
1900,2.348986864089966,483.8372550010681
2000,2.2466697692871094,488.95147466659546
2100,2.1825978755950928,494.02639532089233
2200,2.277189016342163,498.997998714447
2300,2.2785491943359375,503.87708044052124
2400,2.1505234241485596,508.7099585533142
2500,2.1713600158691406,513.4646735191345
2600,2.245151996612549,518.1529059410095
2700,2.108246088027954,522.8073477745056
2800,2.1048026084899902,527.4232153892517
2900,2.1178343296051025,531.9894309043884
3000,2.0188145637512207,537.0202918052673
3200,1.8926622867584229,538.126302242279
3400,1.9712061882019043,539.3152594566345
3600,2.0008625984191895,540.5904593467712
3800,1.9353644847869873,541.948194026947
4000,2.0178165435791016,543.3708624839783
4200,1.8997483253479004,544.8984885215759
4400,1.8880542516708374,546.5227103233337
4600,1.839742660522461,548.228597164154
4800,1.8459439277648926,550.0475516319275
5000,1.9930182695388794,551.9682974815369
